ASROCK,,,,,,,,,,,
Fatal1ty X470 Gaming K4 {variant 2},ATX,🗙,＊,✔,✔,4,,2x PZ0903PK,2x PK618BA,,
Fatal1ty X470 Gaming-ITX/ac,mITX,🗙,＊,✔,✔,3,,2x FDPC5030SG Dual N-FET,,,
X470 Master SLI[/ac] {variant 1],ATX,🗙,＊,✔,✔,4,,2x SM4337,2x SM4336,,
X470 Master SLI[/ac] {variant 2},ATX,🗙,＊,✔,✔,4,,2x PZ0903PK,2x PK618BA,,
X470 Taichi [Ultimate],ATX,✔,✔,✔,✔,6 * 2,IR3598,1x CSD87350 40A Dual N-FET,,,
ASUS,,,,,,,,,,,
Prime B450-Plus,ATX,🗙,＊,✔,✔,4,,1x 4C10B,2x 4C06B,,
Prime B450M-A,mATX,🗙,🗙,＊,＊,4,,1x 4C10B,2x 4C06B,,
Prime B450M-K,mATX,🗙,🗙,＊,＊,4,,1x 4C10B,2x 4C06B,,
Prime X470-Pro,ATX,＊,✔,✔,✔,6,,1x IR3553 40A Power Stage,,,
ROG Crosshair VII Hero [Wi-Fi],ATX,✔,✔,✔,✔,5 * 2,IR3599,1x IR3555 60A Power Stage,,✔,
ROG Strix B450-E Gaming,ATX,🗙,＊,✔,✔,4,,2x 4C10B,2x 4C06B,,
ROG Strix B450-F Gaming,ATX,🗙,＊,✔,✔,4,,1x 4C10B,2x 4C06B,,
ROG Strix B450-I Gaming,mITX,🗙,✔,✔,✔,6,,1x IR3553 40A Power Stage,,,
ROG Strix X470-F Gaming,ATX,✔,✔,✔,✔,6,,1x IR3555 60A Power Stage,,,
ROG Strix X470-I Gaming,mITX,🗙,✔,✔,✔,6,,1x IR3553 40A Power Stage,,,
TUF B450-Plus Gaming,ATX,🗙,＊,✔,✔,4,,1x 4C10B,2x 4C06B,,
TUF B450M-Plus Gaming,mATX,🗙,＊,✔,✔,4,,1x 4C10B,2x 4C06B,,
TUF B450-Pro Gaming,ATX,🗙,＊,✔,✔,4,,2x 4C10B,2x 4C06B,,
TUF B450M-Pro Gaming,mATX,🗙,＊,✔,✔,4,,2x 4C10B,2x 4C06B,,
TUF X470-Plus Gaming,ATX,🗙,＊,✔,✔,4,,1x 4C10B,2x 4C06B,,
BIOSTAR,,,,,,,,,,,
B450MH[C],mATX,🗙,🗙,＊,✔,4,,1x SM4377,2x SM4364,,
Racing B450GT3,mATX,🗙,🗙,＊,✔,4,,1x SM4377,2x SM4364,,
Racing X470GT8,ATX,✔,✔,✔,✔,4 * 2,IR3599,1x IR3555 60A Power Stage,,,
Racing X470GTN,mITX,🗙,＊,✔,✔,4,,1x PK612DZ 60A Dual N-FET,,,
GIGABYTE,,,,,,,,,,,
B450 Aorus Elite,ATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
B450 Aorus M,mATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
B450 Aorus Pro [Wi-Fi],ATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
B450 Gaming X,ATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
B450I Aorus Pro WiFi,mITX,🗙,＊,✔,✔,4,,1x IR3556 50A Power Stage,,,
B450M DS3H [Wi-Fi],mATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
B450M Gaming,mATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
B450M S2H,mATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
X470 Aorus Gaming 5 Wi-Fi,ATX,🗙,＊,✔,✔,4,,2x 4C10N,2x 4C06N,,
X470 Aorus Gaming 7 Wi-Fi [rev 1.0/1.1],ATX,✔,✔,✔,✔,5 * 2,IR3599,1x IR3553 40A Power Stage,,,
X470 Aorus Ultra Gaming,ATX,🗙,＊,✔,✔,4,,2x 4C10N,2x 4C06N,,
MSI,,,,,,,,,,,
X470 Gaming M7 AC,ATX,✔,✔,✔,✔,6 * 2,IR3598,1x 4C029N,1x 4C024N,✔,
X470 Gaming Plus,ATX,🗙,✔,✔,✔,4,,2x 4C029N,2x 4C024N,,
X470 Gaming Pro,ATX,🗙,✔,✔,✔,4,,2x 4C029N,2x 4C024N,,
X470 Gaming Pro Carbon [AC],ATX,✔,✔,✔,✔,5,,2x 4C029N,2x 4C024N,,
B450-A Pro,ATX,🗙,✔,✔,✔,4,,2x 4C029N,2x 4C024N,✔,
B450 Gaming Plus,ATX,🗙,✔,✔,✔,4,,2x 4C029N,2x 4C024N,✔,
B450M Gaming Plus,mATX,🗙,✔,✔,✔,4,,2x 4C029N,2x 4C024N,✔,
B450 Gaming Pro Carbon AC,ATX,＊,✔,✔,✔,4,,2x 4C029N,2x 4C024N,✔,
B450 Tomahawk,ATX,＊,✔,✔,✔,4,,2x 4C029N,2x 4C024N,✔,
B450M Bazooka,mATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B450M Bazooka Plus,mATX,＊,✔,✔,✔,4,,2x 4C029N,2x 4C024N,✔,
B450M Bazooka V2,mATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B450M Mortar Titanium,mATX,＊,✔,✔,✔,4,,2x SM4337,2x SM4503,✔,
B450M Pro-M2,mATX,🗙,🗙,＊,＊,4,,1x SM4337,2x SM4503,,
B450M Pro-M2 V2,mATX,🗙,🗙,＊,＊,4,,1x SM4337,2x SM4503,,
B450M Pro-VDH,mATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B450M Pro-VDH Plus,mATX,🗙,＊,✔,✔,4,,1x SM4337,2x SM4503,,
B450M Pro-VDH V2,mATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B450I Gaming Plus AC,mITX,🗙,✔,✔,✔,6,,1x IR3555 60A Power Stage,,,
ASROCK,,,,,,,,,,,
AB350 Gaming-ITX/ac,mITX,🗙,＊,✔,✔,3,,2x FDPC5030SG Dual N-FET,,,
AB350 Pro4 {variant 1},ATX,🗙,＊,✔,✔,3,,2x SM4337,2x SM4336,,
AB350 Pro4 {variant 2},ATX,🗙,＊,✔,✔,3,,2x PZ0903PK,2x PK618BA,,
AB350M Pro4 {variant 1},mATX,🗙,＊,✔,✔,3,,2x SM4337,2x SM4336,,
AB350M Pro4 {variant 2},mATX,🗙,＊,✔,✔,3,,2x PZ0903PK,2x PK618BA,,
AB350M Pro4 R2.0,mATX,―,―,―,―,,,,,,
AB350M Pro4-F,mATX,―,―,―,―,,,,,,
AB350M Pro4/DASH,mATX,―,―,―,―,,,,,,
AB350M,mATX,🗙,＊,✔,✔,Probably same as AB350 Pro4,,,,,
AB350M HDV {variant 1},mATX,🗙,🗙,＊,＊,3,,1x SM4337,2x SM4336,,
AB350M HDV {variant 2},mATX,🗙,🗙,＊,＊,3,,1x PZ0903PK,2x PK618BA,,
